,text,gpt-4o-mini_response
196,วินคือเหี้ยนะอีสัส พาขับอ้อมโลกละเก็บแพง แต่คือถ้ามึงไปอีกทางมันใกล้กว่าไวกว่าไง พอให้เท่าที่เคยจ่ายก็บอกแล้วแต่มึงเลยอีสัส งี้ เหี้ยเอ้ยย ดีนะบอกให้จอดตรงคนเยอะ,negative
197,อร่อยยย หวาน 0% ไปเลยสิ,positive
198,วันสุดท้ายคือวันไหนกันแน่หรอคะ,neutral
199,ใครจะมาก็มานะคะ พ่อค้ากำลังมึน อาจจะได้กินฟรี ที่ M30🤣🤣 @SaranPie,positive
200,พ่อค้านร้านนี้หล่อมากกกกกกกกก 🫠🫠,positive
201,คนเยอะจนตาลายรู้สึกเลยว่าจะวูบ,negative
202,พ่อค้ากระดุมหาย 😱 มาอุดหนุนพ่อค้าได้นะทุกคนนนนนน โซนนิสิต M30 ขายเมนูกล้วยปั่น อร่อยมากเว่อร์ แถมพ่อค้ายังแซ่บเว่อร์ 😍,positive
203,คนครึ่งประเทศอยู่นี่กันหมดแล้ว,neutral
204,อยากได้เป็ดตัวใหญ่ อยากจ้างไปเล่นเกมมาให้หน่อยค่ะ ท้อมาก,negative
205,มีใครไปแล้วจะมาสยามมั้ยคะอยากฝากหิ้วขนมㅠ___ㅠ,neutral
206,เกษตรแฟร์ตอนนี้ทักค่ะ,neutral
207,มีใครพอทราบบ้างมั้ยคะ ว่าจากเจริญกรุงไปม.เกษตรสามารถนั่งอะไรไปได้บ้าง ขอบคุณล่วงหน้าค่ะ🙏🏻,neutral
208,พ่อค้าแซ่บ,positive
209,กว่าจะถึง 😓,neutral
210,ลุยๆ สู้ๆเว้ย,positive
211,มาอีกแร้ว,neutral
212,เป้าหมายในการเดินเกษตรแฟร์ น่าร้ากกกก อร่อยมากคับบ โซน M เลออ @BayBaek,positive
213,หลายอย่างน่ากิน แต่กุแพ้แลคโตส 🥲😔,negative
214,เห็นสตอรี่คนไป แล้วนึกถึง อิแทวอน กลัวๆๆ,neutral
215,มีใครมีเป้ดตัวเร้กไหมคะ เราอยากได้มากแลกกับหมอนโดเรม่อน😭😭,neutral
216,ไหนใครไปคนเดียวยกมือขึ้นนน ✋️🙋‍♀️,neutral
217,โซน K ควรไปเดินจริงๆนะ,positive
218,หาเพื่อนเดินเกษตรแฟร์วันนี้คั้บ,neutral
219,มีตรงไหนที่ชาทแบตบ้างได้มั้ยคะหรือใครทีมีพาวเวอร์แบงค์ให้ยืมบ้างคะ😭😭,neutral
220,มะขามหวาน ขายโซนไหนอ่ะ,neutral
221,ยังตามหาอยู่นะคะ 😭😭😭😭,negative
222,มีใครไปเกษตรแฟร์วันนี้(10ก.พ.66)มั้ยคะแง,neutral
223,ร้อนสุดๆๆๆๆๆๆๆๆๆๆ,neutral
224,น้องเมษาอีกสักเซ็ต 😙❤️✨,positive
225,“น่ากินอะแมงกะพรุน หลงรักคุณต้องทำไง” 📍ร้าน แมงกะพรุนน้ำมันงา @ tangwangruay พิกัด : โซนนิสิต บูท M174 หน้าสนามบาส -ทาม IG : w.sadudee,positive
226,ใครเดินเหนื่อยๆสามารถมานวดฟรีที่โซน M54 ได้เลยนะคะ,positive
227,อย่าลืมมาอุดหนุนกันนะคะ 2วันสุดท้ายแล้วว รีบมากันน้าา💖,positive
228,น้องเหลือ2ตัวค่ะ น่ารักมากกก ใครมาเดิน,positive
229,M242 อร่อยม๊ากกก 😽😽 พ่อค้าแม่ค้าน่ารักคับ! มีโปรประจำวันด้วยน้า,positive
230,คนเยอะยังคะ ใจมันหวั่นๆ,neutral
231,มีที่จอดรถตรงไหนเหลือบ้างคะ😢 วนหานานแล้ว,negative
232,มีใครเป็นเฟมทวิตบ้างไหมครับ พอดีจะขอสัมภาษณ์แล้วนำข้อมูลไปทำวิจัยอะครับ ถ้าสะดวกสัมภาษณ์ตัวต่อตัวได้จะดีมาก ขอบคุณครับ,neutral
233,มาแล้วๆๆๆๆๆๆ,positive
234,ลุงอ๊อด น้ำพริกแมงดา อร่อยมากกก แถวๆโซน A,positive
235,ไปเดิน มาเมื่อวาน เดินไม่สู้เหมือนเมื่อ3ปีที่แล้วแล้วอะ เดินไปปวดหลังไป รู้สึกตัวเองแก่ขึ้นเยอะมาก แต่มีโซนนึงที่อัพเอเนอจี้เราได้มากๆคือโซนจุ๊มเหม่ง แล้วร้านไหนมีโกลเด้น จะมีคนพูดจุ๊มเหม่ง 555 ได้ยินเกิน10,neutral
236,ขนมปังแลบลิ้นครูต้อย เบเกอรี่ คือร่อยสุดๆๆๆๆๆ ต้องซื้อๆๆๆๆๆๆๆๆๆ อยู่โซน A อะแต่ A เท่าไหร่ไม่รู้ลืม แต่ถ้าไป BTS เดินเข้าไปนิดเดียวก็เจอ,positive
237,เมื่อวานไปไม่เจอคุณลุง นอยอ่า อยากอุดหนุนคุณลุง😭,negative
238,เอาจริงตอนแรกว่าจะเดินให้ทั่ว สงสารโซนในๆ ไม่ค่อยมีคนเดินถึง แต่พอไปจริงๆ เดินแค่โซนเอก็ยมแล้ว😭,neutral
239,ไิอติม Duca'tim อร่อยอะ เพิ่งเคยกินน,positive
240,เย็นนี้เจอกันฮ่ะ เกษตรแฟร์,neutral
241,หาเพื่อนเดินวันเสาร์นี้คั้บ ข่วงเย็นๆ เราอยากเดินทุกโซนเลย😭,neutral
242,หาวาร์ปคนนี้ค่าาา ใครไม่รู้หล่อโดนใจ เพื่อนชอบมากกกกกก,positive
243,ไปกัล,neutral
244,ปิดดึกสุดกี่โมงคะ ร้านค้าเริ่มเก็บกันประมาณกี่โมงคะ,neutral
245,"สวัสดี เช้าวันศุกร์หรรษานะคะ ร้านเปิด ใจคนขายก็เปิดนะคะ ขอให้ยอดขายวันนี้เฮงๆปังๆ ""ใครที่บอกไม่เคยเจอรักดีๆ แนะนำให้มาเจอเราก่อน""",positive
246,สายๆจัดสักหน่อย🤤🤤,positive
247,เป็นการไปงานเกษตรแฟร์ครั้งแรกที่สนุกมากเลยแก หรือเราไปถูกช่วงนะมีกิจกรรมการแสดงให้ดูด้วย เราไม่เน้นกินเราเน้นมองไปรอบๆ โอเคดี ชอบ ผ่าน ❤️‍🔥☘️,positive
248,โดยให้เข้าเฉพาะฝั่งถนนงามวงศ์วาน ประตู 1 และ ประตู 2,neutral
249,หาเพื่อนเดินวันเสาร์ค่ะ ไปคนเดียวว,neutral
250,รับหิ้วนะคะ พรุ่งนี้จะไปวันสุดท้ายแล้วว ว่าจะไปเที่ยงๆ ไปต่อคิวกินของในลิสต์555555,positive
251,หาคนรับหิ้วของงานเกษตรแฟร์แล้วส่งปณให้ค่า,neutral
252,หมี่กรอบอันนี้อร่อยนะ อยู่แถวสระน้ำ มีกุ้งตัวเล็กๆด้วย รสชาตเปรี้ยวๆหวานๆ ลองไปชิมก่อน เค้ามีให้ชิมมม,positive
253,วินคือขึ้นราคาสุดๆๆๆๆๆๆๆ,negative
254,วันนี้ไปเดินกับเพื่อน 5 คน ซื้ออาหารคนละ 3-4 อย่าง แล้วไปนั่งกินแถวริมน้ำ คำถามคือมันเป็นไปได้หรอวะ ที่อาหารจะไม่อร่อยเลยสักอย่าง ที่แปลว่าสักอย่างจริงๆ 😭😭😭,negative
255,วันนี้เจอประสบการณ์ที่น่ากลัวมาก คือสั่นเลย คือเรานั่งวินแถวหน้ามกตรงข้ามกับตลาดอะไรสักอย่าง แล้วเรากับเพื่อน3คน แยกกันคนละคัน เพื่อตะไปmrt ลาดพร้าวเพราะรถเราจอดอยู่ที่นั้น แต่วินคันที่เรานั่ง จากที่ขับเร็วก็ขับช้าลงจนห่างกับเพื่อนจนตามเพื่อนไม่ได้ พอติดไฟแดง,neutral
256,แม่ค้าจะร่วงแล้ว มาซื้อหน่อย~ จะปิดแล้วนะ,negative
257,หาเพื่อนค่าาาาา,neutral
258,ใครลืมทาโกยากิกันน้าา มาเอาเร็วว สภาพกล่องยังไม่โดนเปิด สาหร่ายสีซีดก้อนเปื่อยจืดชื่ดไปหมดแล้ว🥲,negative
259,ขยะทิ้งแบบนี้กันเยอะมาก เพราะถังขยะน้อย แถมห่างกันมาก ช่วยกันรักษาความสะอาดกันด้วยนะครับ,negative
260,ตอนนี้จะปิดยังนะะะ สมควรลองไปดูไหม,neutral
261,ของกินก็อร่อย คนทำก็น่ารัก 😍,positive
262,ปาโป่งได้น้องต่ายมาตัวนึง🐰,positive
263,แย่อ่ะ ทำไมไม่ไปทิ้งถังขยะดีๆ แล้วก็ไม่ต้องอ้างด้วยว่าไม่มีถัง หาไม่เจอ หาไม่เจอก็ถือไว้หาที่ทิ้ง มีปัญญาซื้อมาถือแดกได้ แต่ไม่มีปัญญาถือไปหาถังขยะ มักง่าย,negative
264,เฉาก๊วยนมสด M65 อร่อยมากกก หวานกำลังพอดี อยากให้มาลองกัน,positive
265,ซื้อห่านที่ไหนอะคับ,neutral
266,สัญญาณทศดีมั้ยมุ้ย ไปตอนช่วงลอยกระทงไม่มีเงินสดโอนจ่ายไม่ได้เลยค่ะ,neutral
267,ร้านพริกหยวกปิ้งๆอยู่โซนไหนคะ บอกบุญที,neutral
268,อยากทราบมากว่าแต่ละคนที่ได้น้องคนนี้มาเสียไปเท่าไหร่ คือ เดินไปไหนก้เจองง แล้วตัวใหย่กว่ากุอีก เอ้อ เก่งอะ,neutral
269,ย้อมสีผมเตรียมไปเดินเล่นเกษตรแฟร์พรุ่งนี้,neutral
270,ในที่สุดวันนี้ก็เหลี่ยมวินจนได้ราคา15 บาทมาจนได้,positive
271,เมนูแนะนำเกษตรแฟร์ก็คงต้องยกให้ 2 อย่างนี้👀 อันแรกผักทอดที่เลือกผงคลุกได้ ตอนแรกไม่ได้คาดหวังแต่ผักบุ้งทอดคือเกินคาด✨อันที่2 ผลไม้เคลือบน้ำตาล ร้านนิสิตคือทำดีสุดๆ อร่อยย🍓⭐️,positive
272,ตามหาเจ้าของน้อง พบอยู่บริเวณโซน M ใครเป็นเจ้าของเดมมาได้นะคะ,neutral
273,ตามหาร้านหมูทอดค่ะ (ป้ายเขียนว่าเบคอนทอด) ไม่แน่ใจมาขายที่งานเกษตรไหม ตามมาจากงานกาชาดค่ะ 🥺,neutral
274,เมื่อวานพี่แอนนาเสือมาร้านเรา บอกว่ามันบดอร่อยมาก ใครมาเดินเกษตรแฟร์แวะมาซื้อเบอร์เกอร์ ซื้อมันบด ที่ร้าน humburger m115-118 ได้นะคะ ข้าวไข่เจียวก็มีน้า รายได้ส่วนนึงจะนำไปสร้างห้องสมุดให้เยาวชนด้วยค่า,positive
275,เดินผ่านร้อยคน กินไปแล้ว79คน (เวอร์),neutral
276,โมจิย่างอร่อยยยย,positive
277,เกษตรแฟร์กันม้ายยยพน,neutral
278,พรุ่งนี้ไปเจอกับพาย ที่งานเกษตรแฟร์ ได้นะค้าบบบ M30 มาเจอกานนนน,positive
279,กำไลอยู่โซนไหนคะㅠㅠ,neutral
280,มีใครพอจะทราบว่าเบอร์เกอร์อยู่โซนไหนมั้ยคะ 🥹,neutral
281,เคยลองแต่น้ำอ้อยผสมเลมอนที่ ไต้หวันกะสิง เออ มาเจอที่นี่ด้วย แถมมีผสมเสาวรส เอ้อออ แปลกดี เลยขอลอง คำแรกงงๆ ที่เหลือคืออร่อยย! น้ำอ้อยไทยนี่แม่ง The best เข้มข้น หวานนัวๆแบบอ้อย อมเปรี้ยวเสาวรส อร่อยยย ที่ชอบอีกอย่างคือ ที่หิ้วแก้ว น่ารัก!,positive
282,ช่วยแนะนำที่จอดรถดีๆหน่อยงับ🥺🙏🏻,neutral
283,คิดยังไกับการที่เเบบว่า เรากำลังจะเเสกนจ่ายละมือถือเเบบหมด (พกเงินสดเเต่น้อยมาก เเค่ค่ารถเมล์ ),neutral
284,คนเยอะแบบตะโกน 🚶🏻‍♂️🚶🏻‍♂️ แต่กำไลน่ารักมาก ไม่เสียแรงที่ยืนรอคนข้างหน้าจนขาแข็ง ㅠㅠㅠ💘,positive
285,พน. ฉันจะต้องไป เพราะฉันมีเป้าหมายหลัก คือเจ้าเป็ดตัวใหญ่55555,positive
286,ร้านค้าเริ่มเปิดขายกี่โมงคะ ขอความรู้หน่อย,neutral
287,ตามหาคนนั่งดูสิ่งเล็กๆงาน,neutral
288,อร่อยมาก หน้ามะพร้าวหอมมาก คนขายบอกว่าอยู่ได้ 7 วันในตู้เย็น เนื้อไม่แห้งด้วย มีหน้ามะพร้าว ฟักทอง เผือก ลูกเกด ฝอยทอง มันม่วง อยู่โซน G ก่อนถึงพวกมะขาม,positive
289,เมื่อเราไปเดินงาน ได้กระเทียม ปลาอินทรี,neutral
290,เจ้แขกน่ารักมากเลยเตงบอกตามตรงสามารถยืนดูแกพูดได้ทั้งวันอะ,positive
291,พรุ่งนี้มีใครรับหิ้วกำไลบูท B43 บ้างคะช่วงเที่ยงๆ,neutral
292,เมิงงง กุโดนเจ๊แขกแซวแรงมาก แต่ตกใจกดอัดหยุดก่อน555555555555555555,positive
293,ได้กินสมใจไหมละ,neutral
294,เอนจีนไปมุงร้านนี้ด่วน ข้าวโพดอบเนยผัดชีส บูธ M152,positive
295,เดินมาตั้งแต่พระอาทิตย์ยังไม่ตกดินจนทุ่มนึง ร้านเต็มพอดี😭😭 เนื้อลูกวัวทั้งตัวย่างหอมมาก,neutral
296,ปกตินั่งวินผ่านจากประตูวิภาไปพหลแค่20 เมื่อวานนั่งเจอ25บาท วันนี้เจอ30 มีงานก็น่าจะคนเยอะไม่ใช่หรอ คนน่าจะนั่งเยอะนิ่ หรือว่าคนนั่งเยอะ พอคนไม่มีตัวเลือกเลยใช้โอกาสนี้อัพราคา หรือราคาอัพตอนมีงานแบบนี้ทุกปีคะ?,neutral
297,พี่ผู้หญิง KU Band ที่ลานดาวคือสุดๆ เสียงเพราะมากกกกกกก,positive
298,พรุ่งนี้พายไปขายของบูธ M30 (โซนนิสิต) มากันๆๆๆๆๆ เจอตั้งแต่14.00-20.00เลยค้าบบบ,positive
299,ที่จอดในมอเต็มหมดยังคะใครทราบบ้าง,neutral
300,เดินเกษตรแฟร์มาแล้ว 2 วัน เห็นน้องตุ๊กตานี่ไปแล้ว 10 ล้านตัว,neutral
301,MEXIECORN ข้าวโพดคลุกชีสอร่อยนัวมาก ประทับใจคร้าา ใครผ่านมาโซน M ต้องจัด ๆ,positive
302,ติดป้ายไม้ละ 3 บาท แต่ไม่ขายแยกไม้ ขายเป็นมัดละ 50 ถ้างั้นก้ควรติดป้ายราคามัดค่ะไม่ใช่ไม้ เซ็ง จะกินแค่ 5ไม้ก้ไม่ขายกูงง,negative
303,โดยเนจะใส่เสื้อกั๊กสีเขียว เเละจะประจำอยู่ในทุกโซนคอยให้บริการสอบถามข้อมูล ..เข้าไปถามกันได้เลย📍🗺️,neutral
304,หาเพื่อนไปงานเกษตรแฟร์พน.ช่วงเย็นค่ะ อยากไปหาของกินแต่เพื่อนไม่ว่างสักคน,neutral
305,คนเกือบทั้งกรุงเทพอยู่ที่นี้จริงๆ,neutral
306,ของที่อยากจะรีวิวคือข้าวตังหน้ากุ้ง พิกัดตรงแถวอาคารจักร กุ้งจะออกเค็มแต่หน้าจะหวานตัดกันพอดี ราคา25บาทเอง ซื้อ4แถม1 ถูกจนงงว่าเค้าขายเอากำไรไหม พ่อค้าคือฉีดยาเว่อให้ชิมจนอิ่ม (จริงในถุงมีมากกว่านี้แต่กินลืมถ่าย),positive
307,วันนี้เปิดร้านแล้วคับบ ครอฟเฟิลอบใหม่ๆ ร้อนๆ อร่อยมาก การันตีโดยแม่เอง เพราะกินจนจะเจ๊งแระ 🤩 ร้านอยู่โซนนิสิตm242 ข้างkuhome หน้าศาลพระภูมิเยยคับ มีโปรด้วยน้า มาได้ค้าบ,positive
308,รอเลิกงานจะไปกินพริกหนุ่มใส้แตก,neutral
309,มีใครรับหิ้วไหมง่ะแบบอยากกินแต่ไม่อยากไปเดิน;-;,neutral
310,อร่อยยยย อร่อยตะโกนบอกกก,positive
311,ล่าสุดพี่โดยองเค้ารับจ็อปนายแบบงาน,neutral
312,โซนสัตว์เลี้ยงอยู่ไหนอ่าาาาา,neutral
313,มีตู้กดเงินตรงไหนบ้างไหมคะ,neutral
314,แอนนาเสือศิษย์เก่าม.เกษตร เที่ยวงานเกษตรแฟร์ สวยน่ารักเป็นกันเองมาก,positive
315,หาเพื่อนเดินเกษตรแฟร์ค่าา,neutral
316,ชอปปี้ส่งฟรีนะคะ,positive
317,วันนี้ไปเกษตรแฟร์กันนนน,neutral
318,คนจะเดินเล่นก่อนค่อยไปซื้อของกิน สรุปคือหนัก เดินไหวแล้ว ร้อนมากก ของกินก็ไม่ได้ซื้อ คิดถึงห้องที่สุด,negative
319,ไม่เมาหรอกบัตเตอร์เบียร์ เมาเธอ 💚🍺 📍ร้านวัดดวง BUTTER BEER พิกัด : โซนนิสิต บูท M199 -จ๊ะเอ๋ IG : jjae_pi -วิน IG : win.ats -ริว IG : lee_minghaoo -นน IG : sanonwtt,neutral
320,หาเพื่อนไปเกษตรแฟร์วันนี้ครับ,neutral
321,มีใครรับหิ้วของกินไหมคะ หิว,neutral
322,หาเพื่อนเดินเกษตร,neutral
323,ตอนนี้ฝนตกมั้ยคะ,neutral
324,สำหรับพี่มาย,neutral
325,โปปป,neutral
326,ไปตอนนี้คนเยอะไหม?,neutral
327,คือถ้าไปเจอคุณลุงต้องอยากเหมาหมดแน่ๆอะ อยากให้ลุงกลับบ้านพักผ่อน🥺,positive
328,ไปช่วงไหนคนน้อยบ้างคะ🥹,neutral
329,ยัดลงไปได้ 13 ชิ้น จมอยู่ในน้ำ 5555,neutral
330,พบ flo Wolffia วูฟเฟีย(ไข่น้ำ/ผำ)เกรดพรีเมียมได้ที่งานเกษตรแฟร์นะคะ บูธคณะวิทยาศาสตร์โซน K อยู่หน้าจิ้มจุ่มวิดยาเลยค่าา 🍦ไอติมไข่ผำ🍦 สดชื่นดีต่อใจสุด ๆ ใครลองแล้วเป็นอย่างไรมาแชร์กันได้นะค้าา 🥰 ขอบคุณเพจ Sweetlists ค่ะที่ไปตำมา 2 รอบ🤣🤣,positive
331,ไอศครีมสาหร่าย Spirulina หอมอร่อย,positive
332,4 อันนี้คือที่สุด หมูสะเต๊ะทอดอร่อยแบบตะโกนจนต้องซื้อกลับบ้านอีกชุด แล้วร้านข้างๆเป็นไอติมปังย่างเนย ขนมปังเค็มนัวดีตัดกับไอติมหวานๆกำลังดีเลย ส่วนพริกหยวกพลาดได้ไงกินทุกปีอร่อยเหมือนเดิม ละก็มันเขย่าทอดดีมากกรอบทุกชิ้นให้ผงเยอะสะใจ ชอบมาก🤤🤤,positive
333,กูขอโทษแล้วกันที่ไม่ได้ลงรูปชัดๆว่าคือเป็ดตัวใหญ่ๆที่เป็นตุ๊กตา,neutral
334,รีวิวเกษตรแฟร์เวลาเกือบ5ทุ่มค่ะ ร้อนมาก คนเยอะแบบต่อตูดกันเดินประมานโซนของเล่น นอกนั้นก็แน่นบ้างประปราย,neutral
335,และเจอผู้วิดวะช็อปเขียวคนนึงซื้อข้าวร้านเดียวกัน ที่เป็นข้าวหน้าหมูของkikkoman เพียงสบตากุเหม่อเลย อยากขอไอจีแต่ไม่กล้าทีนี้หน้าเขาติดอยู่เสียดายมากอะฮือออ,neutral
336,วันนี้ ทำเมนูใหม่ล่ะ ✅ คัดกันที่รสชาติจริงๆค่ะ คาเฟ่ที่ไหนแข่งขันกันทางรสชาติ คิดถึงพวกเรานะ ลูกค้าพี่ๆไม่ผิดหวังแน่นอน พร้อมส่งทุกสายพันธุ์ ทักไลน์มานะคะ,positive
337,เมื่อวานคุณลุงยังมาขายอยู่ไหมคะ🥺,neutral
338,ที่งานมีปลาส้มขายมั้ยคะ อยู่โซนไหน พอดีว่าจะฝากพี่ซื้อค่ะ ขอบคุณค่ะ,neutral
339,เด็กเกษตรช่วยกดโหวตให้หน่อยนะค้าบโซนขายเป็นตรงทางเดินไปโรงอาหารที่ชอบมีของขายทุกศุกร์ค่ะเดี๋ยวต้องจ่ายค่าที่เเล้ว(แพงมัก🥹) ขอความเมตตาหน่อยค้าบ🙏🏻🙏🏻,neutral
340,หนอนพี่ รีวิว เราเปิดถึงวันเสาร์ที่11นี่นะครับ ใครอยากลองเชิญได้เลยครับ,neutral
341,หนอนพี่ ใครยังไม่ได้ลองเชิญที่งานเกษตรเเฟร์นะครับ ถึงวันเสาร์ที่11 นี้ครับ 🙏🏼❤️,positive
342,ร้านนี้เปิดเพลงพี่มาร์คด้วยยย แล้วอร่อยมากๆๆๆเลย อูด้งเอาไปสิบนิ้วโป้งเลย,positive
343,หนอนพี่ ออกเพจอีจันใครยังไม่ได้ลองเชิญที่งานเกษตรเเฟร์นะครับ ถึงวันเสาร์ที่11 นี้ครับ 🙏🏼❤️,positive
344,ปล่อยบัตรfanmeet kimseonho ใบสุดท้ายค่ะ รอบ : 12 กพ โซน B1 ราคา : 4000 ต่อรองได้ ✅ใครไปเกษตรแฟร์วันนี้ 9 กพ.นัดรับที่งานได้เลยนะคะ ✅สนใจDMได้เลยค่ะ,neutral
345,เสื้อคอเต่าแบบยาว เต็มตัวมีอกถึง 50 เลยเด้อ แมทช์ได้หลายแบบมาก โคเรียโคใจโซคิ้วท์สุด 🎄🧁✨💕 พิกัด ช้อปปี้ https://t.co/6SEo59ZT8A,positive
346,เอาลุ๊คพ่อค้าขายน้ำงานเกษตรแฟร์วันที่ 8 มาฝากจ้าาาาา หล่อมาก น่ารักมาก @SaranPie มะวานอยู่บูธ M30 เน้อ,positive
347,อยากรู้ว่าคนที่โทรศัพท์หายตอนนี้มีใครได้คืนบ้างยังคะ,neutral
348,โทรศัพท์หายที่เกษตรแฟร์ คือกระเป๋าที่เราใช้เป็นเป๋าผ้าแล้วมันมีช่องเล็กๆตรงกลาง ปกติเราจะชอบเก็บพวกกระเป๋าตัง ลิปในช่องนั้นเพราะมันหยิบจับสะดวก เราจำได้ว่าเก็บทรศไว้ในช่องนั้น แล้วรู้ตัวอีกทีโทรศัพท์ก็หาย โทรไปปิดเครื่อง อยากสอบถามคนที่ทรศหาย ต้องทำยังไงบ้างคะ🥺,negative
349,ปักหมุด📍📍📍 วาเลนไทน์ทั้งที ไม่มีของขวัญได้ไง ชี้เป้าของขวัญวาเลนไทน์ ช่อดอกไม้ ช็อกโกแลต บรรจุในกล่องสวยงาม ใครได้เป็นต้องปลื้ม 🌹🌹🌹❤️❤️🎉🎉 พิกัด : https://t.co/QcPMZWAFyb,positive
350,ชวนคนที่แอบชอบ คนที่รัก มาฉลองวาเลนไทน์ล่วงหน้า วันนี้ (9 ก.พ.) มาดู,positive
351,ดูหนังผีมหาลัยฯในมหาลัยฯมันก็ได้บรรยากาศแปลกๆดีนะ ดูไปแอบเหล่มองตึกข้างหลังไป 😂😂,positive
352,ขอวาปพี่สองคนนี้หน่อยค่า,neutral
353,มีใครบ่นเรื่องที่จอดรถปะ? แบบกั๊กเว่อร์อะ / อาหารกินเล่นเยอะ ซ้ำๆ กันเยอะ ไม่ค่อยมีอาหารจานหลักเลย ส่วนโค้งร้านอาหารผัดไทยขนมจีนตรงนั้น อ่อไม่กินแน่ๆ จ้า...,negative
354,อะไรมี่มีประโยชต่อสมองมันให้มันแดกเข้าไปเยอะๆ. เผื่อมันจะคิดได้ แล้วค่อยปล่อยให้มันค่อยๆตาย😁😁😁 โง่จัด,negative
355,😆😆 ทำได้ทุกอย่างเพื่อกันชา เด็ดจะโดดเรียนมาดูดยาชั่งแม่มัน😊😊😊,neutral
356,อยากไปอีกนะ แต่ไม่รู้ทำไมถึงไปครั้งเดียวแล้วพอ!!! อาจจะเพราะของกินบางร้านไม่ถูกใจและขายแพง แล้วคนขายของบางร้านก็แคร์แต่พวกบิวตี้สแตนดาร์ด อืมมมม -..-,negative
357,ชั้นแบบบอกลูกค้าว่ามันไม่ฮาลาลนะเพราะอุปกรณ์มันใช้ร่วมกันหมดเค้าก็หันมากลอกว่าน่ารักมากอารมณ์แบบไม่โกหกลูกค้าอะ แงง กุเขินมาก5555 ขอขายของหน่อยค่ะ เรากับเพื่อนตั้งบูธอยู่ที่งาน,neutral
358,ความแค้นกำลังแผดเผาตนเองและครอบครัว😩😩😩 เสียดายคนเก่ง,negative
359,บุหรี่นอก✈️✈️✈️ ❄️บุหรี่เย็น-ร้อน🔥 VIBES 🍫🍫60฿🍫🍫 สนใจตัวไหนสอบถามได้น้า🚨,neutral
360,ร้านนี้ก้อทีเด็ด บูธ M47 ร้าน KHOR TOAST NA ชื่อร้านน่ารักดี 😂😂😂 ขนมปังดีมากกก หอมเนย กรอบนอก นุ่มใน โคตรดี! กินคู่กะไอติมโคตรเนื้อคู่,positive
361,��New 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 590 -. / 𝓼𝓮𝓽 💗 เสื้อทวีต+กระโปรงทวีต ได้ทั้งชุด xxsxssm พร้อมส่ง ทักline/ไอจี /ช้อปปี้,neutral
362,มาถ่ายรูปกันเยอะๆนะค้าบ,positive
363,ร้านหมูกรอบเชฟเบิร์ดอร่อยโคตรรรรรรรรรรรรรร,positive
364,เจอเคส AirPods ที่งานเกษตรแฟร์ จะเอาไปให้กองอำนวยการ กองอำนวยกานก็ปิดเจอแลแต่ลุงรปภ. พอถามว่าละถ้าของคนอื่นหายอีกต้องทำไงลุงแกก็บอกไม่รู้ ก็เลยเก็บมาละกเอามาโพสลงทวิตเผื่อเจอเจ้าของ,neutral
365,ปาไม่ให้กระป๋องตก มันทำไมดูง่ายแต่ทำยากจัง,neutral
366,สิ่งที่ชุบชูใจชุ้นในเกษตรแฟร์ปีนี้ แค่ชื่อร้านก็กินขาดละ55555 แล้วโกโก้คือดีม้ากก แบบเจ้มจ้นอะ ใครเปง chocoholic คือเริ้บแน่นอนๆๆ ดื่มแล้วมันสาแก่ใจสุสๆ โกโก้แบบตะคอก! 😭🫶🏻 แร้วน้องๆที่บูธคือไนซ์+สรวลมากๆ5555 อยากให้ไปลองกันเยอะๆ,positive
367,"เพราะมองด้วยความรัก เค้าจึงน่ารักเสมอ .. "" ดีใจที่ได้เจอนะ"" มิวสิค แพรวา",positive
368,ขอบคุณแฟนคลับทุกคนที่ไปให้กำลังใจมิวสิคในวันนี้นะคะ 🙏,positive
369,ดีใจที่ได้เจอ ได้ดูหนังด้วยกันน้าาา,positive
370,วันนี้ก็ดีต่อใจจ้าาาา,positive
371,ตะลุยกินคนเดียวที่เกษตรแฟร์ 4โมง ถึง 4 ทุ่มครึ่ง ของกินไม่ค่อยผิดหวัง แต่พวกน้ำคิดว่าไม่ค่อยโดนอาจจะเพราะเป็นคนไม่กินหวาน,neutral
372,อยากไป,positive
373,น้องมิวสิคเก่งมาก~👍🏻 เก่งทั้งในจอและนอกจอเลย 👏🏻,positive
374,น่ารักที่สุด พักผ่อนเยอะๆน๊าาา 🤗🤗🤗💗💗💗,positive
375,Miu Night 🌙🐶,neutral
376,โซนเล่นเกมต่างๆมีบ้านผีสิงมั้ยคะ,neutral
377,คลิปใหม่มาแล้ว! ประวัติศาสตร์ต้องจารึก ถ่ายเสร็จ 5 โมง ตัดต่อ ทำปก ทำซัพ เสร็จวันนี้!!! ไปดูกันทุกคน,positive
378,การแสดง Fancy Drill &amp; Colour Guard โดยนิสิต,neutral
379,ไอติมหลอดM87ค่า,neutral
380,เบื่อแล้วนะ.😤😤😤,negative
381,โซคิ้วท์มากกกก✨🌷 เกาหลีเกาใจเว่อร์ กระโปรงยีนส์เอวสูงใส่แล้วดูโคเรียสุด ของมันต้องมีแล้วมั้ยงับ ราคาน่ารักด้วยนะ💝🥺 พิกัด : https://t.co/F64oiLe5Rf,positive
